PREVS;Tipo;Nome;Semana;ENA_Percentual_MLT;ENA_MWmes
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;1;75,785372903742;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;2;63,5470462828721;73887,4828
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;3;67,1277910748689;78050,88983
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;4;74,703158171729;86858,92795
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;5;78,5625014901765;91745,2997785715
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;6;84,0853260745589;98365,6886
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;M;70,0680887019607;81469,6355161735
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;1;62,6131860346783;43444,15176
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;2;65,3830046480318;46267,43065
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;3;72,3828341643464;51220,76873
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;4;75,292197914607;53279,54205
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;5;80,7673375880638;56107,97145
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;6;86,1689645121442;59414,0339
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;M;69,8911089115896;49457,5318467857
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;1;308,829333533585;25115,17815
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;2;142,75679013905;11925,94405
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;3;84,1520643852706;7030,0881
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;4;74,3403451256321;6210,4142
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;5;94,1076056725117;7014,3028
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;6;92,4622047341647;6558,6003
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;M;134,994576589375;11277,4864571429
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;1;47,0017363367198;6659,5591
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;2;36,366374310389;5226,6387
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;3;36,7275451321527;5278,5468
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;4;51,6320109165415;7420,6426
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;5;55,7100742308497;7947,7797
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;6;64,6261283773927;9192,4101
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORDESTE;M;43,4058370701944;6238,36255714286
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;1;48,1602099416218;9996,72915714286
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;2;45,945830272785;10467,4694
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;3;63,7405006652124;14521,4862
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;4;87,5610434604431;19948,3291
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;5;80,7893240722043;20675,2458285714
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;6;86,844031111019;23200,6443
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;Submercado;NORTE;M;63,6297495146619;14496,254655102
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;SIN;1;75,785395396974;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;SIN;2;63,5470718185991;73887,4828
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;SIN;3;67,1278180494813;78050,88983
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;SIN;4;74,7031881904248;86858,92795
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;SIN;5;78,562516083707;91745,2997785715
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;SIN;6;84,0853344704158;98365,6886
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;SIN;M;70,0681168581016;81469,6355161735
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PARANA;1;36,6565372330196;13909,99524
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PARANA;2;47,4142381002633;18128,46355
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PARANA;3;62,6113282943175;23938,95227
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PARANA;4;59,9917750492141;22937,38655
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PARANA;5;65,4765513324711;24050,25955
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PARANA;6;73,0862858943066;26405,9704
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PARANA;M;53,4939764012912;20453,0039960714
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;1;89,6032277875096;3386,5648
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;2;54,7579972546369;2088,3025
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;3;46,4123986495412;1770,0269
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;4;36,5191641105887;1392,7292
202102-prevs-ECMWF_ENS_EXT-19-2021-Diaria-IA+SMAP.rv3;REE;PRNPANEMA;5;51,4400750031245;1721,5077
