Submercado
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997507524238;67,8321421601254;80,2377341588163;83,3457925297688;82,7349208828219;80,4004113990329;77,5909245775461;87,2825758510527; ;63,8844964825763;62,8689882306655;63,5594282565079;64,5000340279183;64,2482031528285;62,7707666318372;62,5367030845684;63,3192504597064;64,5528014825301;65,8165839886273;67,7539243218741;69,4976394798491;70,9367452768149;72,9480333340199;75,2494139553334;77,6077579041996;79,7442792623375;81,1744209481614;82,1286604684826;82,6885222240427;83,071058726672;83,446675238301;83,7829491725465;82,6674486802618;83,0555737658742;83,3820668683248;83,5668519010335;83,5221180183378;83,3873559822362;83,1832594754235;82,9792895156517;82,7687345492861;82,6053526886168;82,2919813317989;81,92849787695;81,5492142253901;81,2028690665264;80,9705389860799;80,6076584984638;80,1726332643652;79,3244696196626;78,9756642101524;78,5621378704977;78,1699407933176;77,8796741554975;77,579826634907;77,2847380173296;77,0249944177987;76,6350761943966;76,2923013054672;75,8402050456355;75,3288968002168;74,8156315653593;74,2173235287327;84,3403456551781; ;SIN;73832,4912953286;78869,8536015874;93294,0954671631;97331,2276962361;96785,9416598926;94054,9582215633;90768,3311879341;87229,0514558951; ;74279,8432209;73099,0904891;73901,8795803;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;76526,3218650209;78778,9080814334;80806,3622477446;82479,6407247231;84818,2075098898;87494,0710003285;90236,1669457903;92720,3451151192;94383,2008321655;95492,7151254178;96143,6781245506;96588,4613349703;97025,1985267959;97416,1912791899;96707,0105315255;97161,0516001817;97542,9936148588;97759,161022823;97706,829904178;97549,1809885216;97310,4224039894;97071,8118582103;96825,4979622954;96634,3686656659;96267,7768863395;95842,5623810261;95398,8643031078;94993,6987214855;94721,9116046067;94297,4024695383;93788,4961156218;92796,2873099773;92388,2436489056;91904,487385437;91445,6827715436;91106,1196272981;90755,3484616879;90410,1444121695;90106,2880888362;89650,1493505665;89249,1603842583;88720,2838015309;88122,1391549505;87521,7051598866;86821,7853907047;84288,6255272538
SUDESTE;65,4128250031883;73,1788007094887;85,2936867533211;87,4123429976901;84,9498005240779;82,0073050018822;77,8634784812436;92,6888643101644; ;60,3995724984397;61,5563206268981;64,8678947254819;68,1354758285663;68,9077312270669;67,3191479425341;66,5960619383173;67,8068699660717;69,5221059170932;71,3451320268111;73,448567960472;75,1864329371266;76,4756588487879;78,4668380003842;80,9343073729379;83,5345462444669;85,7198483740201;86,8442772702491;86,9186434750418;86,5850149674201;86,5191246904497;86,2538419918776;86,0868575599548;88,2984332268398;88,2968382468541;88,0942471879074;87,7177795859581;87,2034685383594;86,6655675416062;86,0184066235157;85,3834340692439;84,861160934145;84,3911901747335;83,9009363473348;83,4279783758844;83,1276410781643;82,9142102732968;82,6967398958948;82,3252370644379;81,7908539129809;80,8942272992959;80,3024859295537;79,6622725515118;79,1116764579614;78,5358490308415;77,9319234935937;77,2198860037743;76,6028543163761;75,9797638449794;75,3286691670029;74,6606147043707;73,9877653459307;73,2822301171897;72,5288622416769;90,3917106086531; ;SUDESTE;46288,5326354714;51784,0240763295;60356,9652080972;60724,1663741163;58573,4127909182;56544,5439319719;53687,3499205684;50742,714011479; ;42740,9698729;43559,5276021;45902,9198303;48215,1809889;48761,6574515;47637,5172052;47125,8348233;47982,6473353;49196,4116895;50486,4523439265;51974,9213537443;53204,6988428529;54117,0027478366;55526,0347096461;57272,1072355293;59112,1323660587;60658,5329218712;61454,2203678242;61506,8446429164;61270,7567799871;61224,130384693;61036,4065423137;60918,2421865272;60882,3157474171;60881,2159988536;60741,5282108867;60481,951471267;60127,3308234483;59756,4447598072;59310,2233047406;58872,4058018999;58512,2952455122;58188,2475005987;57850,2144548777;57524,1070087906;57317,0225847267;57169,8607249144;57019,913554859;56763,7600551959;56395,2995676409;55777,0699727662;55369,0606390003;54927,6295557609;54547,9901443716;54150,9535724556;53734,5431798478;53243,5889273774;52818,1417631924;52388,5170299729;51939,5832231387;51478,9555399049;51015,0217463601;50528,5508431133;50009,0990341204;49485,1323787368
SUL;142,738281127009;83,6821931384948;59,3534881438349;62,8946486074977;74,4365412782699;70,8403963373797;63,4620802601403;63,8099464926646; ;198,044138641075;176,042421697129;155,348174015204;136,309966650268;121,294167139843;108,820882981409;102,415029147922;97,9010204189754;93,3289917832693;83,6376370281547;83,4710513183572;80,8241156764553;75,9837420293351;70,6283620669206;66,1920932109861;62,447337495594;59,2409258701202;57,1061796718785;57,0010672342991;57,2321579451748;56,2548714027899;55,0196731399541;54,3397149758847;64,0107312148066;64,8693800315132;66,5549904343395;68,4674289428165;69,9207307843569;71,1812813867696;72,4766443448963;73,6867323413857;74,7946747766125;75,8954402363888;76,7719993573203;76,248635227992;74,4439264006153;72,8919358461061;72,2912619037286;71,3404814295108;69,6491508429404;68,1502996642023;67,1158453667293;66,1165463744074;64,9986208608349;63,9569914731504;63,0660168302346;62,3909967388298;62,0122521847018;61,6925018979489;61,410265412054;60,4822087127259;59,7845280526184;59,2059422440703;58,0933334649194;61,2134878493719; ;SUL;11924,3978017143;6990,8349184575;4958,40777931645;4687,84756215988;5279,99006039529;5024,90553849819;4501,54114137175;4207,19551655715; ;16544,665333;14706,635457;12977,831946;11387,374528;10132,95024;9090,928429;8555,781524;8178,679913;7796,731302;6987,11268795285;6973,19606897704;6752,07029038167;6347,70405855184;5900,31404833911;5529,70684909416;5216,86886009775;4949,00429401004;4770,66697151643;4761,88584770222;4781,19123335633;4699,54842943823;4596,35960487242;4539,55570074195;4540,45847333691;4601,36481234361;4720,92982731859;4856,58438813607;4959,6711133696;5049,08545929525;5140,96914204113;5226,80403554838;5305,39346145438;5383,47380461162;5445,65057110813;5408,52690370813;5280,51390757986;5170,42691856996;5127,81945198396;5060,37795930739;4940,40719585466;4834,08952996307;4760,71282122841;4689,82977566753;4610,53222236156;4536,64656460337;4473,44726520184;4425,56622032818;4398,70081999008;4376,02004644967;4356,00023071649;4290,17059833719;4240,68217655619;4199,64148248633;4120,72105988013;4036,00262636654
NORDESTE;35,8478072671194;37,0188132788706;52,3332537374626;62,5256875300391;69,2222443922659;66,7730686771075;66,2661606699897;80,3732331980753; ;39,3325879973622;37,7417708507286;36,4641097031936;35,2686934182581;34,1612042746321;33,8071697147803;34,1591149108805;33,6283974046491;34,630284349955;34,2962848671158;35,7791447498755;37,7929023737046;40,0929157151597;42,9117634916348;45,8352409729851;48,6417941689257;51,18858586972;53,2291805360332;54,8992329469319;55,9839870413551;56,5547546262872;57,516642654297;58,6727310210179;60,6253041291247;62,1948266377435;65,0554675035599;66,338090909656;67,3690772518805;68,1892133111547;68,7560683110795;69,2945974324921;69,633699082924;69,8464333973646;69,6614158532582;69,174283357588;68,6313374575907;68,026102833081;67,4287056702758;66,9514168028591;66,715686592503;64,8889308340521;64,7693005493904;65,006281440203;65,3382720084312;65,8591198000921;66,457257886342;66,9634206524435;67,0907448645153;67,1480280379005;67,0121703722927;66,6290254324277;66,128489169836;65,3922961092757;64,5565441108656;78,0846139464841; ;NORDESTE;5152,10934071429;5320,40836570682;7521,42644044121;8920,11717702227;9846,16090229425;9497,79054272042;9425,68802936562;9326,7065969797; ;5652,948101;5424,313088;5240,685401;5068,878089;4909,707819;4858,825355;4909,407532;4833,131887;4977,124825;4929,12183718803;5142,24104406192;5431,66179960087;5762,22372580124;6167,35344129571;6587,52072033731;6990,88343728875;7356,9127794112;7650,1906014711;7890,21344475294;8046,11619385588;8128,14790597131;8266,39212986212;8432,54716491045;8623,33350278627;8846,5821318261;9253,47922821169;9435,91937507988;9582,56670647939;9699,22272756457;9779,85209152886;9856,45238709213;9904,6861512773;9934,94544592762;9908,62858022913;9839,33893244012;9762,11039500179;9676,02191941304;9591,04824311583;9523,15875142544;9489,62852424089;9229,79107914196;9212,77488670399;9246,48301047541;9293,70529547235;9367,79060153721;9452,86966666594;9524,86617705853;9542,97675249311;9551,12470185673;9531,80032936449;9477,30185477831;9406,10565733948;9301,38967488227;9182,51244512751;9061,12962038618
NORTE;45,9457517791625;64,8514560533524;89,795099058248;89,8698609251441;86,416312202767;86,0470118607552;86,6685054697561;85,0219330762967; ;41,0024549527333;41,2980999647941;42,9301992171086;45,3165609346525;47,8374287294025;50,0286050936404;53,2069488174058;55,4299521082347;57,4423434428898;61,9941756274778;64,4738075420692;67,6753500088829;71,3395220413924;75,6051121137191;79,4687908393514;83,0309850379612;86,7163752169655;90,0181980545895;93,6422923936416;96,7668494264687;98,9221319275592;101,509264521614;103,26416982598;84,8236851965547;85,4637148531938;85,4456266844737;86,0357358506729;86,2324600895931;86,2592865924183;86,3901098380257;86,5277529363009;86,4789923791016;86,5709951249775;86,3298650159203;86,3572135977926;86,2397823163565;86,00834843791;86,0298387294204;85,9062217390849;85,9550893310408;85,9258023700472;86,2640301665933;86,2447518569744;86,0684860749827;86,2828717537854;86,4466709986181;86,9019708939669;87,3898773031881;87,3450296674474;87,6717676248298;87,866709121085;87,8160780845015;87,9350869802883;87,9999550204457;80,4061415407571; ;NORTE;10467,4515174286;14774,5862410936;20457,2960393084;22999,0965829377;23086,3779062849;22987,7182083728;23153,7520966284;22952,4353308792; ;9341,259914;9408,614342;9780,442403;10324,108022;10898,41708;11397,615188;12121,711705;12628,160686;13086,627637;14123,6349959536;14688,5496146502;15417,9313149091;16252,7101925333;17224,505310609;18104,7361953677;18916,282282345;19755,8951198268;20508,1228913537;21333,7711900462;22045,6139173512;22536,6346148678;23126,0402497476;23525,8462270102;22660,9028079852;22831,8886571583;22827,0563484418;22984,70578834;23037,2612608807;23044,4280418546;23079,3778656787;23116,1496336699;23103,1231040515;23127,7019145279;23063,2832801245;23070,5895360873;23039,2174157994;22977,389158588;22983,1303546479;22950,1057036095;22963,1608278853;22955,3367281061;23045,6953019729;23040,5450435331;22993,4551093381;23050,7288887019;23094,4883499723;23216,1230874054;23346,4687531606;23334,4875722872;23421,7766010386;23473,8558085105;23460,3295746947;23492,1231594047;23509,4528515767;21706,3609017643

REE
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997762691455;67,824562141726;80,0486293501372;83,7649892279568;82,8764320314903;80,2275062444598;77,6138741539519;87,3108022654079; ;63,8845221539042;62,8690134939218;63,5594537972105;64,5000599465936;64,2482289703082;62,7707918556242;62,5367282142994;63,319275903896;64,5528274224095;66,3198781334742;67,5401785318981;68,9889350100148;70,7099579456528;73,3408387458526;75,934185742734;78,0893542179375;79,6068433291666;80,4232480746815;81,1845258704975;82,0707813587769;83,0314677560927;83,9051177544427;84,4793251989943;83,3128579117552;83,4798507257349;83,6119628890808;83,7735003388035;83,7973781515184;83,7578666080507;83,6137834284478;83,3388521770213;82,9473665978943;82,6014537549072;82,1537971265901;81,7219473412012;81,3169143216798;80,9424834251373;80,6908811484312;80,3671798584277;80,0214621752151;79,2629014081089;78,9908982383795;78,6193029406315;78,2247343223982;77,9001412777385;77,5647602689039;77,2600252626668;77,0345628063094;76,6934730929914;76,3787905392034;75,9243769305922;75,3826620527589;74,8152271441874;74,1787769229802;84,2926400231981; ;SIN;73832,4912953286;78861,0084658152;93074,1819411534;97820,7474857276;96951,4762215387;93852,678901737;90795,1692664471;87257,2707594305; ;74279,8432209;73099,0904891;73901,8795802999;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;77111,4815309392;78530,3498142295;80214,8486635833;82215,9173031951;85274,8963294595;88290,2340333508;90796,0925896232;92560,5082801714;93509,7588099876;94394,9121055626;95425,3795255813;96542,3892889971;97558,2000475254;98225,8428116806;97462,0210449077;97657,3745300525;97811,9235248541;98000,8951520319;98028,8281739405;97982,6063184252;97814,0532494914;97492,4299600729;97034,4577249581;96629,7979206021;96106,115012303;95600,9234497186;95127,1029895648;94689,0818625336;94394,7495469474;94016,0735210692;93611,6420208012;92724,2535996063;92406,0556729365;91971,3517192243;91509,7728472734;91130,0536185421;90737,7142874904;90381,2256213298;90117,4724958564;89718,4549414134;89350,3293189286;88818,7418809792;88185,0266520568;87521,2233162093;86776,6836808143;84240,958995809
PARANA;47,3642311590583;63,3854531531498;69,900355568219;77,1857742879448;71,4243361961165;66,0167321997563;61,9899468619099;76,1067567567364; ;37,370979993274;40,574372423938;44,8047329268034;48,5946432869164;51,6553678272071;53,6257853365221;54,9237186411271;56,6395835368721;59,7491867595938;62,5687086063427;64,9439336973596;66,3351240579448;66,7986353616831;66,6625418854445;66,6669352982489;67,4313318861094;68,9237500637899;70,4966945560147;71,5691612106311;72,0038409175214;72,2108965562661;72,9497421896016;73,9546402598562;79,0518769280539;79,3579925769793;79,2058229554532;78,60749547765;77,6077954763924;76,2010637386571;74,5088291912281;72,7207161279511;71,0328941194916;69,5425820560797;68,3947113555115;67,5694629174855;66,9952852026043;66,609534452257;66,3638991719253;66,1838660189662;65,8760328943955;65,385787781512;64,7027531363839;64,0367211771378;63,4667699661586;62,8556199596197;62,1675434452382;61,4081031732151;60,4951589484343;59,499953598127;58,5557052720699;57,674122538876;56,7236109844127;55,7292018734715;54,7685368619716;72,9365411813842; ;PARANA;18109,3437866714;24234,9328625135;26725,8549082003;28351,1863012888;25805,5103547302;23851,7507770536;22396,8790027225;20312,9022058919; ;14288,5022681;15513,2943399;17130,7396317;18579,7822521;19750,0263705;20503,4001128;20999,6547727;21655,7023117;22844,6348125;23922,6569652367;24830,8057241494;25362,7164909036;25539,9364170588;25487,9021395456;25489,5819266112;25781,8429907133;26352,4574225687;26953,8604617396;27363,909709303;27530,1060996282;27609,2722056378;27891,7640618746;28275,9789890354;28561,3298949871;28671,9290404437;28616,950374164;28400,7755135175;28039,5853350993;27531,3351733508;26919,933255433;26273,890567082;25664,0828931731;25125,6352794836;24710,9112396539;24412,7501611354;24205,3005752388;24065,9293817131;23977,1817067934;23912,1359865207;23800,9163195737;23623,7914625484;23377,0120236874;23136,3756308799;22930,4530747888;22709,6454528778;22461,0443938779;22186,6597114683;21856,8142708165;21497,2480033482;21156,0924357473;20837,5778570815;20494,1593940293;20134,8808067034;19787,7939141684;19466,7713011214
