PREVS;Tipo;Nome;Semana;ENA_Percentual_MLT;ENA_MWmes
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;1;75,785372903742;85215,6181671429
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;2;63,5470462828721;73887,4828
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;3;67,9185205102854;78970,28752
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;4;81,6620971630581;94950,23219
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;5;84,7959665388539;99024,7410985715
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;6;88,692944970366;103755,82772
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SIN;M;72,4526983089826;84242,2710929592
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;1;62,6131860346783;43444,15176
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;2;65,3830046480318;46267,43065
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;3;73,3189525801023;51883,20072
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;4;85,6322904377243;60596,57369
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;5;90,5487757504976;62903,00357
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;6;93,8524728590397;64711,86042
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUDESTE;M;73,3960492758748;51937,7571914286
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;1;308,829333533585;25115,17815
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;2;142,75679013905;11925,94405
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;3;83,682865646821;6990,8911
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;4;58,6266068118696;4897,6839
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;5;81,7798027059962;6095,451
202102-prevs-ECMWF_ENS_EXT-2021-Diaria-IA+SMAP.rv3;Submercado;SUL;6;81,2607868245782;5764,0527
