Submercado
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997507524238;68,3194488351529;81,615927113849;86,435758462889;81,4663670162315;79,8149465288711;80,0006652510009;88,7423500299139; ;63,8844964825763;62,8689882306655;63,5594282565079;64,5000340279183;64,2482031528285;62,7707666318372;62,5367030845684;63,3192504597064;64,5528014825301;65,9801192383224;68,1529588785212;70,19515401685;71,8954082159665;74,1403666804635;76,7404780484027;79,0264698013121;81,0819604919523;82,5669882170575;83,4496297471195;83,5993938222078;84,8584069869126;86,0722217423448;87,3003225542354;86,9349054746322;87,2203123182147;86,6599292866092;85,8894506676992;84,9793831812114;84,1297709813119;83,1418366074438;82,194299111193;81,3295242269214;80,7575820810407;80,049861585152;78,6270673596288;78,4337791279729;79,314688929603;80,4145317483835;81,0193081781232;80,7697604988361;79,6304893538039;79,1251768000874;78,6164068996515;78,6399509508448;79,2989353176139;80,1431208004396;81,0870821577552;81,3709394753162;80,8492042730414;79,6258906367649;78,0675343330734;76,5986335477354;75,3092508372414;74,4030381818648;84,3082718087612; ;SIN;73832,4912953286;79436,4552876696;94896,549305958;100939,690327421;95301,9470030519;93370,0627969619;93587,3224645051;88687,9304557447; ;74279,8432209;73099,0904891;73901,8795803;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;76716,4677279027;79242,8739250955;81617,3770213657;83594,2982197742;86204,5584857489;89227,7624773476;91885,7330079081;94275,6951215551;96002,3679870067;97028,6337961322;97202,7676256242;98666,6486239322;100077,97648432;101505,91504202;101699,21720712;102033,095209511;101377,541317328;100476,210925466;99411,5850369791;98417,6816653971;97261,9646156591;96153,505118096;95141,8639561181;94472,7878444428;93644,8739007816;91980,4439667691;91754,32924625;92784,8455476913;94071,4766553018;94778,9633564611;94487,0345448889;93154,2789272935;92563,1482315469;91967,973021654;91995,5156015093;92766,4164713756;93753,9714967393;94858,2475132444;95190,3128308157;94579,9703984975;93148,8992018489;91325,8844375266;89607,5175835201;88099,1566826631;87039,0402982048;84256,571349519
SUDESTE;65,4128250031883;72,6653088008852;84,069426887301;93,5908151682831;83,1907961854382;81,1506305810179;88,1105308692322;104,211042388734; ;60,3995724984397;61,5563206268981;64,8678947254819;68,1354758285663;68,9077312270669;67,3191479425341;66,5960619383173;67,8068699660717;69,5221059170932;71,2704240674609;73,0889356971077;74,3997890952161;75,3163684177502;77,2525308862604;79,9737341465955;82,5421851739965;84,5773417122923;85,4105206948984;84,9292207991117;84,2375753659414;86,8348716106808;89,2656994772019;91,6450487977485;95,4035697087978;95,8902828445292;95,8109370410831;94,7837902647794;92,5067360507833;89,7275965098481;86,6784067608662;83,9578987229313;82,1280157462649;80,6309329584553;79,9724655742448;79,2403055876029;79,3417185409107;79,6080427460102;80,2847611036078;81,0103931678126;81,7101961896835;82,5164285657159;83,5881643682983;84,2066634695538;85,4252649205788;86,9359267394911;88,7895774760171;90,3847674380748;90,9221712836348;90,1109763645413;88,1706092627383;85,8532262370598;83,6844870564415;81,6157696938432;79,590858670501;97,6506732045204; ;SUDESTE;46288,5326354714;51420,6582230999;59490,6336781593;65016,2669992517;57360,5684217432;55953,8616211114;60752,7559098585;57050,5546715364; ;42740,9698729;43559,5276021;45902,9198303;48215,1809889;48761,6574515;47637,5172052;47125,8348233;47982,6473353;49196,4116895;50433,5862306781;51720,4322721507;52648,040585898;53296,6459913679;54666,7461148045;56592,3701177066;58409,9009948498;59850,0529808955;60439,641223349;60099,0556282079;59609,6217564264;61447,5645754798;63167,7082174215;64851,4237375804;65781,3512898912;66116,943006812;66062,2335846614;65354,0095305244;63783,9665686708;61867,7326689971;59765,2974808846;57889,4903651068;56627,774736699;55595,5268965443;55141,5095631689;54636,6807247019;54706,6055831454;54890,2377695104;55356,8392619002;55857,1670574781;56339,68556864;56895,5877776554;57634,5562411501;58061,0151962642;58901,2484325773;59942,85909865;61220,9627444609;62320,8560879544;62691,3993627734;62132,075449629;60794,1803337057;59196,3304068038;57700,9713302844;56274,5779158247;54878,3892431804;53459,0667425191
SUL;142,738281127009;84,4482131879373;66,7720380017092;79,8073292310744;152,865161283734;173,171696521802;103,716270638097;82,2821516472594; ;198,044138641075;176,042421697129;155,348174015204;136,309966650268;121,294167139843;108,820882981409;102,415029147922;97,9010204189754;93,3289917832693;83,8963116885427;84,7229899464668;82,6800009818354;77,2288751727139;71,3794102357567;66,6329975054302;62,7049743355752;59,8418527595183;63,193086226378;71,6283286263694;74,1325500449583;69,2704765137348;63,6629991136973;61,3729599770717;81,3291344400222;86,2117603607443;85,1844257910482;88,2147465837973;98,8208821006235;116,117275853241;135,142978361808;151,777051873914;161,628803285642;171,001791972132;171,976906714185;161,83966032303;158,63154139789;174,108392798134;188,755027503611;192,818495521488;184,249925920094;166,016970230798;147,621141004078;132,47403279291;120,034786841976;109,577994182931;100,861710295173;93,5698720414939;87,3908417544546;82,104783649913;78,1402725136235;74,2251305322479;71,8052963672701;71,3628279428585;77,4195254836133;92,4603398340535; ;SUL;11924,3978017143;7054,82845769253;5578,15560672955;5948,4328486062;10843,1493228778;12283,5481159551;7356,88236807266;5425,12756287643; ;16544,665333;14706,635457;12977,831946;11387,374528;10132,95024;9090,928429;8555,781524;8178,679913;7796,731302;7008,72244482631;7077,78338855971;6907,11149223009;6451,72284594733;5963,05683228424;5566,54012295681;5238,39191715052;4999,20590231268;5279,16892743623;5983,85154752385;6193,05493811433;5786,87589161239;5318,42558764192;5127,11504760312;5768,90078568479;6115,23896700443;6042,36728028248;6257,3163280319;7009,63889899471;8236,52001848549;9586,06579818167;10765,9667084009;11464,7787251623;12129,6307756607;12198,7983653602;11479,7353988935;11252,1746371168;12349,9905774627;13388,9169479674;13677,1499901895;13069,3576136195;11776,0435617049;10471,1764386248;9396,75009606114;8514,39992433285;7772,67065594876;7154,4004958818;6637,17021032213;6198,87447628897;5823,91973267302;5542,70597617026;5264,99411057698;5093,34857036947;5061,96305939847;5491,58139287874;6096,20832786466
NORDESTE;35,8478072671194;37,3198102530654;51,449512589136;58,5232483264208;59,3016620037789;53,1666161009165;50,90207482251;66,7683285338869; ;39,3325879973622;37,7417708507286;36,4641097031936;35,2686934182581;34,1612042746321;33,8071697147803;34,1591149108805;33,6283974046491;34,630284349955;35,1123845854141;36,3579573330167;38,2285790224258;40,3409987728705;42,9400703031259;45,6326021040456;48,0874103259575;50,4539708253489;52,2785751411008;53,8059224438834;54,7195451714065;55,1685621122097;55,7459591333353;56,3710053761109;57,7711009499635;58,7467240756192;59,8685843914054;60,4481108128425;60,7626111173391;60,700412329827;60,4503841419624;60,1036185912802;59,5806379472137;58,987814356092;58,169971723989;57,1187949360883;56,1762286912681;55,2035598661297;54,2771959968484;53,4099899688247;52,788427895203;50,431919038778;49,8789912493632;49,6934400511641;49,8262395969508;50,1388253662714;50,7614039839738;51,4227277348997;51,9321420751137;52,5397449491968;53,2982632848766;53,8868450757852;54,4334324564193;54,8815676115879;55,1209842074565;67,6685197130872; ;NORDESTE;5152,10934071429;5363,66817545529;7394,41362230315;8349,11623164233;8435,05885989322;7562,41091799417;7240,30293099037;7747,96017813083; ;5652,948101;5424,313088;5240,685401;5068,878089;4909,707819;4858,825355;4909,407532;4833,131887;4977,124825;5046,41311110803;5225,42899734184;5494,27800690978;5797,87865524728;6171,42174558006;6558,39710890759;6911,20642512412;7251,33262485024;7513,56793727102;7733,08095368916;7864,3884044709;7928,92190180905;8011,90640804885;8101,73914347355;8217,3521019145;8356,12457829896;8515,69780907336;8598,12955399433;8642,86402669283;8634,01688116688;8598,4529119625;8549,12903583908;8474,74035319129;8390,41722099432;8274,08741662088;8124,56819947769;7990,49772850335;7852,14547134903;7720,37962366389;7597,02837779883;7508,61748847599;7173,42804797536;7094,77968819267;7068,38691562192;7087,27630164295;7131,73845116611;7220,29393355539;7314,36051745907;7386,81953123012;7473,24486625707;7581,13639225443;7664,85617147173;7742,60267252983;7806,3453448818;7840,39992294841;7852,42056469882
NORTE;45,9457517791625;68,4626714395502;98,468759420333;84,5039414499049;69,8594801835245;65,7684603698448;68,2656776537631;68,3966402553577; ;41,0024549527333;41,2980999647941;42,9301992171086;45,3165609346525;47,8374287294025;50,0286050936404;53,2069488174058;55,4299521082347;57,4423434428898;62,4511594161269;66,8031687569272;72,7232197979988;79,2199760781804;85,1688452208948;90,028435155339;93,6092072641339;97,3352305101689;99,9464198300121;101,889409677665;103,307432992209;103,165145257204;103,501592253044;102,82431270756;82,0938272072045;80,2715592399345;77,6979553923288;75,8619770866896;74,770318151447;73,6634489231195;72,2887173701985;70,9290867373018;69,5278340698708;68,7142284513789;67,4912050020886;66,4018707958814;66,6473917197218;66,2259868919313;65,8998408094171;66,0580913537249;65,7652102932374;64,7914075487792;64,9913541024367;65,2877570895033;65,4777984791746;67,0744764386417;67,9697164262152;69,5700965787197;70,7954571433694;71,6845015510532;71,9845024749468;71,8678174671296;71,384541091529;70,956604128226;70,4789728882635;62,4127227787629; ;NORTE;10467,4515174286;15597,3004314219;22433,346398766;21625,8742479206;18663,1703985376;17570,2421419013;18237,3812555836;18464,2880432011; ;9341,259914;9408,614342;9780,442403;10324,108022;10898,41708;11397,615188;12121,711705;12628,160686;13086,627637;14227,7459412903;15219,2292670432;16567,9469363278;18048,0507272117;19403,3337930801;20510,4551277766;21326,2336707837;22175,1036134967;22769,9898989504;23212,6456667113;23535,7025266125;23503,286255031;23579,9362712081;23425,6371133627;21931,61302963;21444,7886573957;20757,2426433112;20266,7555129153;19975,1155426208;19679,4120967476;19312,1484246303;18948,9190087491;18574,5701410655;18357,2129512434;18030,4785556317;17739,459643696;17805,0512974845;17692,4717293692;17605,3408217703;17647,6179309947;17569,3738741534;17309,2195399579;17362,6358635794;17441,8208137068;17492,5909429561;17919,1482656107;18158,3143228412;18585,8606975088;18913,2194605232;19150,7303499384;19230,8764997184;19199,7037486741;19070,5950103364;18956,2703625581;18828,6697391972;16848,8757144363

REE
Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021; ;Nome;DC202102-sem2;DC202102-sem3;DC202102-sem4;DC202103-sem1;DC202103-sem2;DC202103-sem3;DC202103-sem4;DC202104-sem1(6 dias); ;DC202102-sem2@06/02/2021;DC202102-sem2@07/02/2021;DC202102-sem2@08/02/2021;DC202102-sem2@09/02/2021;DC202102-sem2@10/02/2021;DC202102-sem2@11/02/2021;DC202102-sem2@12/02/2021;DC202102-sem3@13/02/2021;DC202102-sem3@14/02/2021;DC202102-sem3@15/02/2021;DC202102-sem3@16/02/2021;DC202102-sem3@17/02/2021;DC202102-sem3@18/02/2021;DC202102-sem3@19/02/2021;DC202102-sem4@20/02/2021;DC202102-sem4@21/02/2021;DC202102-sem4@22/02/2021;DC202102-sem4@23/02/2021;DC202102-sem4@24/02/2021;DC202102-sem4@25/02/2021;DC202102-sem4@26/02/2021;DC202103-sem1@27/02/2021;DC202103-sem1@28/02/2021;DC202103-sem1@01/03/2021;DC202103-sem1@02/03/2021;DC202103-sem1@03/03/2021;DC202103-sem1@04/03/2021;DC202103-sem1@05/03/2021;DC202103-sem2@06/03/2021;DC202103-sem2@07/03/2021;DC202103-sem2@08/03/2021;DC202103-sem2@09/03/2021;DC202103-sem2@10/03/2021;DC202103-sem2@11/03/2021;DC202103-sem2@12/03/2021;DC202103-sem3@13/03/2021;DC202103-sem3@14/03/2021;DC202103-sem3@15/03/2021;DC202103-sem3@16/03/2021;DC202103-sem3@17/03/2021;DC202103-sem3@18/03/2021;DC202103-sem3@19/03/2021;DC202103-sem4@20/03/2021;DC202103-sem4@21/03/2021;DC202103-sem4@22/03/2021;DC202103-sem4@23/03/2021;DC202103-sem4@24/03/2021;DC202103-sem4@25/03/2021;DC202103-sem4@26/03/2021;DC202104-sem1@27/03/2021;DC202104-sem1@28/03/2021;DC202104-sem1@29/03/2021;DC202104-sem1@30/03/2021;DC202104-sem1@31/03/2021;DC202104-sem1@01/04/2021
SIN;63,4997762691455;68,3944239566625;81,2968736301747;87,1533088008459;81,4709194618304;79,1560335322985;79,6825694599546;90,4293457740529; ;63,8845221539042;62,8690134939218;63,5594537972105;64,5000599465936;64,2482289703082;62,7707918556242;62,5367282142994;63,319275903896;64,5528274224095;66,4834167028496;67,9570044372447;69,8235877063246;71,8993107120804;74,7254884595101;77,4355288264077;79,2180401518041;80,4354768540201;81,3758152503725;82,3200976263732;83,0718520354904;85,2332038728493;87,2321271953622;89,0472157473983;88,5029291634664;87,7904821423004;86,3851344602178;85,8280189860286;85,3023810802307;84,7583468837445;83,995886629605;82,8185512513837;81,3704801988727;80,2573651418833;79,2961906698011;77,7649882931357;77,3378569589334;77,7930015021763;78,7995812659188;79,7596470606478;80,2975309369776;80,0326081813796;80,0751001816107;79,5986307425314;79,2526791423611;79,2376215348126;79,2696351824498;79,7891722684349;80,2535773068121;80,3776707335025;80,1962152637194;79,6143047999021;78,6721736057682;77,3276226431026;75,9401250246585;85,3631480560469; ;SIN;73832,4912953286;79523,5984773533;94525,5411483053;101777,626802437;95307,2630823355;92599,2361722568;93215,1945843001;90373,9022442921; ;74279,8432209;73099,0904891;73901,8795802999;74995,5416279;74702,7325905;72984,8861772;72712,7355843;73622,6198213;75056,8954535;77301,6311772731;79015,0018372182;81185,3164597802;83598,8021404919;86884,8569299092;90035,8764067476;92108,4388573353;93523,9774623532;94617,3281880169;95715,2646596495;96589,3449183282;99102,3929965067;101426,582111503;103537,022771175;103533,530848288;102700,087748259;101056,067499768;100404,336165244;99789,4282876249;99152,9998462521;98261,0496815661;96883,7654509537;95189,7660499989;93887,6087860551;92763,1964327408;90971,9473746824;90472,2756058055;91004,7181142476;92182,2470164629;93305,3624038798;93934,5960058539;93624,6809719858;93674,3894602621;93117,0004129677;92712,2952692307;92694,6804028036;92732,1309821973;93339,9019274879;93883,1776565671;94028,3460791465;93816,0737209777;93135,3364219298;92033,2014985666;90460,303178861;88837,1645004137;85310,8106848185
PARANA;47,3642311590583;62,2608728786614;68,8749770592546;72,1532663588855;56,2939792970982;62,3675464097105;78,2634847380842;107,16428255159; ;37,370979993274;40,574372423938;44,8047329268034;48,5946432869164;51,6553678272071;53,6257853365221;54,9237186411271;56,6395835368721;59,7491867595938;62,5359874096729;64,3208038508581;64,6448463859028;64,1555952741244;63,7800935293822;64,4658957341841;66,4104277375442;68,8638613684936;70,6570080786325;71,5597172080122;71,615719999876;68,5526089593416;68,6078201412091;69,904100363297;74,9645270706747;74,835089578103;73,980617775321;72,656097399669;70,4618657404749;66,8615419930714;62,4837217370764;58,1788125169017;54,1788338389005;51,5945668449271;50,0328460318618;50,7276242819972;53,3638229317391;57,060601459383;60,5075248779657;63,7170580883062;66,1336803464344;67,3422492210962;68,4480732172402;70,3116642941435;72,2403406314651;74,9518513037167;78,2056705869176;81,5513845041532;84,4675118624614;86,1161961393476;86,0808468693048;84,5249447710927;81,7819086174927;78,2272964935508;74,2364818643488;94,9443192343382; ;PARANA;18109,3437866714;23804,95837949;26333,8094452866;26502,6906273682;20338,9340808354;22533,3051784443;28276,484926096;28602,1594428584; ;14288,5022681;15513,2943399;17130,7396317;18579,7822521;19750,0263705;20503,4001128;20999,6547727;21655,7023117;22844,6348125;23910,1462712994;24592,556895067;24716,4520270058;24529,3906863191;24385,8205275384;24648,0316432369;25391,5082645458;26329,559447757;27015,1550847852;27360,2988686757;27381,7110986657;26210,5545205402;26231,664084632;26727,286701345;27084,5762465054;27037,810665854;26729,0912275106;26250,5439131178;25457,771157813;24156,9793452172;22575,2791578044;21019,921623191;19574,7350566623;18641,0430936141;18076,7956009654;18327,8179874932;19280,2727833802;20615,9135699087;21861,2820634424;23020,8818147915;23894,0039749242;24330,6581781058;24730,1908038575;25403,5035904119;26100,3315883231;27079,996510061;28255,5967560963;29464,3984017724;30517,9910390761;31113,6583066311;31100,8866660012;30538,741466694;29547,686433704;28263,4101651845;26821,5345563597;25340,649816107
